token:16781129 lambda:0.999860
token:16782348 lambda:0.000081
token:50339921 lambda:0.000693
token:16814591 lambda:0.000001
token:16852699 lambda:0.000001
token:16805614 lambda:0.001805
token:16777249 lambda:0.001731
token:16814658 lambda:0.000477
token:16805584 lambda:0.288945
token:16780294 lambda:0.722459
token:16824157 lambda:0.000818
token:16817746 lambda:0.000018
token:16804761 lambda:0.000349
token:16783145 lambda:0.069153
token:16817414 lambda:0.000397
token:16805416 lambda:0.000591
token:50347034 lambda:0.000334
token:16785588 lambda:0.347546
token:16787116 lambda:0.685106
token:16844934 lambda:0.000210
token:16802366 lambda:0.000737
token:50349326 lambda:0.287234
token:16843133 lambda:0.000069
token:16824197 lambda:0.000240
token:16854146 lambda:0.000002
token:16795443 lambda:0.001498
token:16792249 lambda:0.509826
token:50344347 lambda:0.000001
token:16818975 lambda:0.000480
token:16783553 lambda:0.001102
token:16782584 lambda:0.000305
token:16826748 lambda:0.000064
token:16823278 lambda:0.005999
token:16782193 lambda:0.010329
token:16801743 lambda:0.000193
token:16837115 lambda:0.000174
token:50334473 lambda:0.000573
token:16869124 lambda:0.000009
token:16779505 lambda:0.001564
token:50335046 lambda:0.002168
token:16782215 lambda:0.778855
token:16777716 lambda:0.000918
token:16793774 lambda:0.000173
token:16815458 lambda:0.000263
token:16793291 lambda:0.017261
token:16814226 lambda:0.000240
token:16829442 lambda:0.000037
token:16828324 lambda:0.001042
token:50334736 lambda:0.000075
token:16813403 lambda:0.000256
token:16823054 lambda:0.005206
token:16779674 lambda:0.261859
token:50356656 lambda:0.000127
token:16868626 lambda:0.000276
token:50345659 lambda:0.007398
token:16822265 lambda:0.003928
token:16830170 lambda:0.000001
token:50357361 lambda:0.000002
token:50351042 lambda:0.059929
token:50334428 lambda:0.000005
token:16819633 lambda:0.000015
token:16820316 lambda:0.000042
token:16780178 lambda:0.002252
token:16778105 lambda:0.999819
token:16799950 lambda:0.000491
token:16792252 lambda:0.000671
token:16796058 lambda:0.000268
token:16869536 lambda:0.000393
token:50356771 lambda:0.000124
token:50338121 lambda:0.999666
token:16805090 lambda:0.001239
token:50339277 lambda:0.999230
token:16805954 lambda:0.104837
token:16810684 lambda:0.534300
token:16826006 lambda:0.000331
token:16780724 lambda:0.002979
token:16791685 lambda:0.001967
token:50345940 lambda:0.034608
token:16823945 lambda:0.001141
token:50350774 lambda:0.000088
token:16804662 lambda:0.001681
token:16796615 lambda:0.002722
token:50346247 lambda:0.000318
token:50352661 lambda:0.000256
token:50341959 lambda:0.000057
token:16816158 lambda:0.000604
token:16791899 lambda:0.006401
token:50336019 lambda:0.000007
token:16800010 lambda:0.000436
token:16808096 lambda:0.197863
token:50335068 lambda:0.000143
token:16811530 lambda:0.003095
token:16866810 lambda:0.984948
token:50346202 lambda:0.000250
token:16779685 lambda:0.000877
token:50335536 lambda:0.002632
token:16813666 lambda:0.000040
token:16780489 lambda:0.003652
token:16801577 lambda:0.000606
token:16824018 lambda:0.001446
token:33556849 lambda:0.000623
token:16870341 lambda:0.000004
token:16804837 lambda:0.000021
token:16819442 lambda:0.000070
token:16781539 lambda:0.157328
token:16792575 lambda:0.000165
token:16796339 lambda:0.003036
token:16788140 lambda:0.001251
token:50359587 lambda:0.000191
token:16817858 lambda:0.000167
token:16777801 lambda:0.001443
token:16819362 lambda:0.010026
token:16781055 lambda:0.626325
token:16822640 lambda:0.000465
token:16780647 lambda:0.683460
token:16788988 lambda:0.000014
token:16797436 lambda:0.001693
token:16850777 lambda:0.000240
token:16791669 lambda:0.000953
token:16819396 lambda:0.005914
token:16789694 lambda:0.000521
token:16798964 lambda:0.002722
token:16778395 lambda:0.253872
token:50350987 lambda:0.000157
token:16810065 lambda:0.000191
token:50343078 lambda:0.000101
token:16808259 lambda:0.166285
token:50339195 lambda:0.000479
token:50359449 lambda:0.000012
token:16779709 lambda:0.007145
token:16801818 lambda:0.000516
token:16789960 lambda:0.000491
token:16813721 lambda:0.022235
token:50346979 lambda:0.000955
token:16779842 lambda:0.002197
token:50338844 lambda:0.000551
token:16842361 lambda:0.000100
token:16802599 lambda:0.000200
token:50338353 lambda:0.001296
token:16816454 lambda:0.000467
token:16810948 lambda:0.001632
token:50334761 lambda:0.002262
token:50346879 lambda:0.000654
token:16816740 lambda:0.000219
token:16797481 lambda:0.001592
token:50356956 lambda:0.000216
token:16818798 lambda:0.001767
token:16800577 lambda:0.000432
token:16858444 lambda:0.000240
token:16785231 lambda:0.000479
token:16791769 lambda:0.119534
token:33558814 lambda:0.000031
token:16803149 lambda:0.000981
token:50356299 lambda:0.002745
token:16815484 lambda:0.000001
token:16787980 lambda:0.000153
token:16802154 lambda:0.006727
token:16868733 lambda:0.000088
token:50355117 lambda:0.009767
token:50345578 lambda:0.000441
token:16780150 lambda:0.152771
token:50348239 lambda:0.000002
token:50332807 lambda:0.001868
token:16802032 lambda:0.000400
token:16816032 lambda:0.007568
token:16783527 lambda:0.311060
token:16789340 lambda:0.254407
token:16793795 lambda:0.000096
token:16825416 lambda:0.000242
token:16829334 lambda:0.000028
token:16817445 lambda:0.000954
token:16785758 lambda:0.001131
token:16812617 lambda:0.000270
token:16806790 lambda:0.000120
token:16826614 lambda:0.000278
token:16784818 lambda:0.000284
token:16820066 lambda:0.000175
token:16851208 lambda:0.000240
token:16821125 lambda:0.000160
token:16826087 lambda:0.000130
token:16809596 lambda:0.000888
token:16782183 lambda:0.019302
token:16797959 lambda:0.000284
token:16809679 lambda:0.078759
token:50340683 lambda:0.028549
token:50333547 lambda:0.000353
token:16820892 lambda:0.000177
token:16807400 lambda:0.000699
token:50339771 lambda:0.999966
token:50338703 lambda:0.000052
token:50343683 lambda:0.817502
token:16812608 lambda:0.000345
token:16822793 lambda:0.000089
token:16779899 lambda:0.081954
token:16796183 lambda:0.006905
token:16784500 lambda:0.999988
token:16824635 lambda:0.000165
token:16781084 lambda:0.000552
token:50336705 lambda:0.000033
token:16792753 lambda:0.284802
token:16812933 lambda:0.999739
token:16797064 lambda:0.004534
token:16822378 lambda:0.000440
token:16829222 lambda:0.000781
token:50358908 lambda:0.000036
token:16788617 lambda:0.000105
token:16806649 lambda:0.100701
token:16791323 lambda:0.000148
token:50340237 lambda:0.131181
token:16792616 lambda:0.000242
token:16807712 lambda:0.000201
token:50352296 lambda:0.999166
token:16828590 lambda:0.000008
token:16802840 lambda:0.000429
token:16811173 lambda:0.290928
token:16796070 lambda:0.001319
token:50339042 lambda:0.000674
token:16838517 lambda:0.000042
token:16825152 lambda:0.000139
token:16817983 lambda:0.225881
token:16857238 lambda:0.000001
token:16797422 lambda:0.002433
token:16809865 lambda:0.000154
token:16798880 lambda:0.000502
token:50338002 lambda:0.000148
token:16796544 lambda:0.000834
token:16790687 lambda:0.000159
token:16790922 lambda:0.001531
token:50338365 lambda:0.999259
token:16799023 lambda:0.000379
token:16819748 lambda:0.000001
token:16787420 lambda:0.000213
token:16869520 lambda:0.000092
token:16800500 lambda:0.000240
token:50355611 lambda:0.999948
token:16794973 lambda:0.000012
token:16781511 lambda:0.078263
token:50349812 lambda:0.000001
token:16793409 lambda:0.000996
token:16802479 lambda:0.644199
token:16832453 lambda:0.000007
token:50345087 lambda:0.000350
token:16801465 lambda:0.195861
token:16807361 lambda:0.570811
token:50338406 lambda:0.008369
token:16800490 lambda:0.000791
token:16822684 lambda:0.001614
token:16791056 lambda:0.000001
token:16786279 lambda:0.000329
token:50334344 lambda:0.016613
token:16806217 lambda:0.000412
token:16780224 lambda:0.173524
token:16813579 lambda:0.000001
token:16830517 lambda:0.000076
token:50348927 lambda:0.000651
token:16797389 lambda:0.000123
token:16783859 lambda:0.011810
token:16789245 lambda:0.002194
token:16793930 lambda:0.155704
token:16781222 lambda:0.139114
token:16816024 lambda:0.000516
token:16803733 lambda:0.002916
token:16807704 lambda:0.000367
token:50355060 lambda:0.002775
token:50341675 lambda:0.000057
token:16828866 lambda:0.000175
token:16810411 lambda:0.000375
token:50357406 lambda:0.000240
token:16808726 lambda:0.000111
token:16807387 lambda:0.000901
token:16819153 lambda:0.000389
token:16816696 lambda:0.000738
token:16782791 lambda:0.225273
token:16789755 lambda:0.000725
token:16796464 lambda:0.000100
token:16792626 lambda:0.000001
token:16853618 lambda:0.000242
token:16821562 lambda:0.002011
token:16794038 lambda:0.000611
token:50339270 lambda:0.000423
token:16783672 lambda:0.001558
token:16816608 lambda:0.000191
token:50349694 lambda:0.000140
token:16808785 lambda:0.000618
token:50343313 lambda:0.998987
token:16795925 lambda:0.000593
token:16777857 lambda:0.000240
token:50336118 lambda:0.000170
token:16807654 lambda:0.253188
token:16817828 lambda:0.000025
token:16787804 lambda:0.000253
token:16831197 lambda:0.000738
token:16795939 lambda:0.000561
token:50340870 lambda:0.000038
token:50338576 lambda:0.000001
token:16830420 lambda:0.000744
token:16780755 lambda:0.000793
token:50342861 lambda:0.999255
token:50343703 lambda:0.000671
token:50357102 lambda:0.000011
token:50351302 lambda:0.000171
token:16818419 lambda:0.000177
token:16784601 lambda:0.004344
token:16777919 lambda:0.753443
token:16823451 lambda:0.000076
token:16786560 lambda:0.000231
token:16780240 lambda:0.022531
token:50349624 lambda:0.000620
token:16798391 lambda:0.000827
token:16868293 lambda:0.000090
token:16790445 lambda:0.001027
token:16806534 lambda:0.000006
token:16796021 lambda:0.000240
token:16816830 lambda:0.000002
token:16806756 lambda:0.000219
token:50350377 lambda:0.000818
token:16831282 lambda:0.000018
token:16809245 lambda:0.000878
token:16866935 lambda:0.000001
token:50334449 lambda:0.000079
token:50335480 lambda:0.033103
token:16807248 lambda:0.000240
token:16807896 lambda:0.006596
token:16829638 lambda:0.000240
token:16830785 lambda:0.000171
token:50357035 lambda:0.000041
token:16867439 lambda:0.000437
token:16829294 lambda:0.000192
token:16817440 lambda:0.000183
token:16787630 lambda:0.000786
token:16813743 lambda:0.000360
token:16840821 lambda:0.000142
token:16862233 lambda:0.000003
token:50338116 lambda:0.999969
token:16824495 lambda:0.000317
token:50345629 lambda:0.057360
token:16827837 lambda:0.000074
token:16792657 lambda:0.000830
token:16805689 lambda:0.000001
token:16809426 lambda:0.000191
token:16841354 lambda:0.000117
token:16793118 lambda:0.000464
token:50348668 lambda:0.161940
token:16813999 lambda:0.000213
token:16827718 lambda:0.278812
token:16779516 lambda:0.850823
token:16782957 lambda:0.000266
token:16804471 lambda:0.006184
token:16832812 lambda:0.000416
token:50349351 lambda:0.607597
token:16821878 lambda:0.001301
token:16825122 lambda:0.999914
token:16813664 lambda:0.993306
token:16836570 lambda:0.000240
token:16788852 lambda:0.000344
token:16792569 lambda:0.000028
token:50348687 lambda:0.000748
token:16804390 lambda:0.000974
token:16809681 lambda:0.006194
token:50353054 lambda:0.000874
token:50343205 lambda:0.002387
token:16814682 lambda:0.106480
token:16804389 lambda:0.000003
token:16804771 lambda:0.996439
token:16790504 lambda:0.000170
token:16784563 lambda:0.002686
token:50346809 lambda:0.000453
token:16807940 lambda:0.000103
token:16828297 lambda:0.000201
token:50347216 lambda:0.000046
token:16792757 lambda:0.001215
token:16848927 lambda:0.002038
token:16797029 lambda:0.012715
token:16781435 lambda:0.999975
token:16777816 lambda:0.001652
token:16796278 lambda:0.004131
token:16800628 lambda:0.000132
token:16815023 lambda:0.064650
token:16816400 lambda:0.001501
token:16803475 lambda:0.949141
token:16798367 lambda:0.001082
token:16817317 lambda:0.000726
token:16815152 lambda:0.000070
token:50352394 lambda:0.000012
token:16806416 lambda:0.000869
token:16783995 lambda:0.104037
token:16794913 lambda:0.119998
token:16790084 lambda:0.000240
token:50352259 lambda:0.000189
token:50334248 lambda:0.996454
token:16804152 lambda:0.000456
token:16791781 lambda:0.003173
token:16813805 lambda:0.000377
token:16812376 lambda:0.001687
token:16786465 lambda:0.162695
token:16808162 lambda:0.098636
token:16827853 lambda:0.955468
token:50354662 lambda:0.000051
token:16865377 lambda:0.000285
token:16799804 lambda:0.002418
token:16783196 lambda:0.053521
token:16830108 lambda:0.003124
token:16797112 lambda:0.368354
token:16810045 lambda:0.017561
token:16805874 lambda:0.000686
token:16789342 lambda:0.002158
token:16783344 lambda:0.997347
token:50349075 lambda:0.018893
token:16802389 lambda:0.000207
token:16796200 lambda:0.204230
token:16820230 lambda:0.999341
token:16823501 lambda:0.000227
token:16854519 lambda:0.000042
token:16781339 lambda:0.000337
token:16808500 lambda:0.000311
token:16807133 lambda:0.001459
token:16828573 lambda:0.000150
token:50344755 lambda:0.003468
token:16807952 lambda:0.008082
token:16779972 lambda:0.084822
token:50359016 lambda:0.000233
token:16794912 lambda:0.000429
token:16803669 lambda:0.001438
token:50350560 lambda:0.570868
token:16809274 lambda:0.000134
token:16808749 lambda:0.000251
token:50348756 lambda:0.032475
token:16784726 lambda:0.000131
token:50338524 lambda:0.001297
token:16830919 lambda:0.000342
token:16796954 lambda:0.000090
token:16778522 lambda:0.995852
token:16849975 lambda:0.000194
token:16829427 lambda:0.000240
token:16859757 lambda:0.000163
token:16800065 lambda:0.000528
token:16843283 lambda:0.000835
token:50346090 lambda:0.000393
token:16814729 lambda:0.004273
token:16789380 lambda:0.000140
token:16848637 lambda:0.000240
token:16808807 lambda:0.000394
token:50340420 lambda:0.002238
token:16805911 lambda:0.153182
token:16815351 lambda:0.000001
token:16830389 lambda:0.001858
token:16782417 lambda:0.011167
token:16826848 lambda:0.000349
token:16817583 lambda:0.000192
token:50339093 lambda:0.000469
token:16797457 lambda:0.046923
token:16802264 lambda:0.000147
token:50346648 lambda:0.002235
token:16788558 lambda:0.002127
token:16805556 lambda:0.001196
token:16779057 lambda:0.069279
token:16778912 lambda:0.673757
token:16804414 lambda:0.000387
token:16800269 lambda:0.000935
token:16827028 lambda:0.001222
token:16791643 lambda:0.006614
token:50341933 lambda:0.000435
token:16778499 lambda:0.532773
token:50335371 lambda:0.999883
token:16807037 lambda:0.000240
token:16809244 lambda:0.001033
token:16822789 lambda:0.000240
token:16806995 lambda:0.000327
token:50354514 lambda:0.994896
token:16797326 lambda:0.001124
token:16823132 lambda:0.000145
token:50334933 lambda:0.001699
token:16827591 lambda:0.000240
token:16847389 lambda:0.000240
token:16815704 lambda:0.000403
token:50344261 lambda:0.992330
token:16787828 lambda:0.001524
token:50338911 lambda:0.000110
token:16804228 lambda:0.002603
token:16795131 lambda:0.995074
token:16806278 lambda:0.000508
token:16793869 lambda:0.000188
token:16786735 lambda:0.001468
token:16816645 lambda:0.000431
token:16815634 lambda:0.000007
token:16785790 lambda:0.001273
token:16782496 lambda:0.000473
token:16837727 lambda:0.000679
token:50336396 lambda:0.000360
token:16782803 lambda:0.000816
token:16801401 lambda:0.000207
token:16828503 lambda:0.001233
token:50347873 lambda:0.000160
token:16781320 lambda:0.000335
token:16788259 lambda:0.000643
token:16812832 lambda:0.000485
token:16791218 lambda:0.000592
token:16810495 lambda:0.000981
token:50355187 lambda:0.000131
token:50342919 lambda:0.997254
token:50345781 lambda:0.078534
token:16795900 lambda:0.000511
token:16825652 lambda:0.002420
token:16823455 lambda:0.000238
token:50337677 lambda:0.001084
token:50357621 lambda:0.000304
token:50335301 lambda:0.000776
token:50353982 lambda:0.000456
token:16792522 lambda:0.000240
token:16795046 lambda:0.001225
token:16812841 lambda:0.004280
token:16784548 lambda:0.001921
token:50340795 lambda:0.000553
token:16784781 lambda:0.042975
token:50356961 lambda:0.001285
token:16789495 lambda:0.000001
token:50334605 lambda:0.382933
token:16811301 lambda:0.019058
token:50339451 lambda:0.000208
token:16852025 lambda:0.000248
token:50354723 lambda:0.000001
token:16827767 lambda:0.000001
token:50355251 lambda:0.000080
token:50357950 lambda:0.000055
token:16826900 lambda:0.000375
token:16811773 lambda:0.000138
token:16807140 lambda:0.135252
token:16795745 lambda:0.000419
token:16785107 lambda:0.053690
token:16789054 lambda:0.000375
token:16818207 lambda:0.000072
token:16785055 lambda:0.000763
token:16826061 lambda:0.020718
token:50358388 lambda:0.000185
token:50345898 lambda:0.004078
token:16784939 lambda:0.003696
token:16795352 lambda:0.000343
token:16793955 lambda:0.005061
token:16838008 lambda:0.000435
token:16794805 lambda:0.000469
token:50343895 lambda:0.002140
token:16806818 lambda:0.000001
token:16802534 lambda:0.005851
token:16820746 lambda:0.000118
token:33566900 lambda:0.000328
token:50348639 lambda:0.004161
token:16825595 lambda:0.003886
token:16814390 lambda:0.000183
token:50357305 lambda:0.000111
token:16859319 lambda:0.000002
token:50345203 lambda:0.002665
token:16779867 lambda:0.000458
token:33568763 lambda:0.309239
token:50345746 lambda:0.088685
token:16795405 lambda:0.999482
token:16798962 lambda:0.004610
token:16812654 lambda:0.000337
token:16778479 lambda:0.594681
token:50336300 lambda:0.000500
token:16793728 lambda:0.000720
token:16822839 lambda:0.000037
token:16824878 lambda:0.000392
token:16810929 lambda:0.000585
token:16809873 lambda:0.000525
token:16853485 lambda:0.000051
token:16819488 lambda:0.000731
token:16806036 lambda:0.000190
token:16800827 lambda:0.999270
token:16816769 lambda:0.000002
token:50359012 lambda:0.000240
token:16815682 lambda:0.001655
token:16819519 lambda:0.000184
token:50342066 lambda:0.000089
token:50347011 lambda:0.000041
token:50344508 lambda:0.000343
token:50350614 lambda:0.000119
token:50348652 lambda:0.000040
token:16797102 lambda:0.000311
token:50341741 lambda:0.001318
token:16800831 lambda:0.000477
token:50339077 lambda:0.999478
token:50348325 lambda:0.000382
token:16845497 lambda:0.000240
token:16858736 lambda:0.000240
token:50351113 lambda:0.000136
token:16794779 lambda:0.000380
token:16818848 lambda:0.000149
token:50342026 lambda:0.999022
token:16833399 lambda:0.999922
token:16807371 lambda:0.002017
token:16801061 lambda:0.240052
token:50342221 lambda:0.000913
token:16781645 lambda:0.000244
token:16844095 lambda:0.000240
token:50336426 lambda:0.001200
token:16794656 lambda:0.000191
token:16802237 lambda:0.000210
token:16814471 lambda:0.000241
token:50345653 lambda:0.001119
token:16805878 lambda:0.000264
token:50342521 lambda:0.001103
token:50348411 lambda:0.000049
token:16788156 lambda:0.447717
token:16791043 lambda:0.999703
token:16794193 lambda:0.000240
token:16811027 lambda:0.001814
token:16794340 lambda:0.000052
token:16813427 lambda:0.000001
token:50342242 lambda:0.422616
token:50345877 lambda:0.002332
token:16852438 lambda:0.000240
token:16793219 lambda:0.193303
token:16787033 lambda:0.006620
token:16786919 lambda:0.000682
token:16823603 lambda:0.337184
token:16806272 lambda:0.000838
token:16790861 lambda:0.095855
token:16788729 lambda:0.000119
token:16806112 lambda:0.000189
token:16780439 lambda:0.001065
token:33566621 lambda:0.000048
token:16778035 lambda:0.000241
token:16792703 lambda:0.085613
token:16805624 lambda:0.004596
token:16787191 lambda:0.000051
token:50351015 lambda:0.000077
token:16843468 lambda:0.001692
token:16804241 lambda:0.000180
token:16784926 lambda:0.003377
token:16782067 lambda:0.008629
token:50338934 lambda:0.000240
token:16781495 lambda:0.000950
token:50351722 lambda:0.000042
token:16802224 lambda:0.016319
token:16789573 lambda:0.999176
token:16785299 lambda:0.000904
token:16816917 lambda:0.000129
token:16781589 lambda:0.000122
token:50338190 lambda:0.998351
token:16784185 lambda:0.001070
token:16777950 lambda:0.143434
token:16794256 lambda:0.000935
token:50337905 lambda:0.001247
token:16780210 lambda:0.351594
token:16808663 lambda:0.027348
token:50358065 lambda:0.000001
token:16800278 lambda:0.000161
token:16787689 lambda:0.000240
token:16794190 lambda:0.000229
token:16817707 lambda:0.000450
token:16796659 lambda:0.651339
token:16804782 lambda:0.000779
token:16809909 lambda:0.001228
token:16818147 lambda:0.000818
token:50339212 lambda:0.059929
token:16813628 lambda:0.000209
token:50349003 lambda:0.001375
token:16801747 lambda:0.000393
token:50353534 lambda:0.000101
token:16845095 lambda:0.000240
token:16806313 lambda:0.000265
token:16796189 lambda:0.000008
token:16793928 lambda:0.000012
token:16822132 lambda:0.154939
token:16794242 lambda:0.000240
token:50349299 lambda:0.000411
token:16815781 lambda:0.001670
token:16798144 lambda:0.000166
token:50348391 lambda:0.010067
token:16792632 lambda:0.000150
token:16795882 lambda:0.001296
token:50351041 lambda:0.000288
token:16789350 lambda:0.000259
token:16799483 lambda:0.000336
token:16783932 lambda:0.000001
token:16853529 lambda:0.000240
token:50347726 lambda:0.000001
token:16793420 lambda:0.001437
token:50351657 lambda:0.002156
token:16827232 lambda:0.000419
token:16796673 lambda:0.001393
token:16795442 lambda:0.000111
token:16817652 lambda:0.006844
token:16797786 lambda:0.001207
token:50336712 lambda:0.000436
token:16833943 lambda:0.000240
token:16793893 lambda:0.999725
token:16825767 lambda:0.000702
token:16868631 lambda:0.000091
token:16868050 lambda:0.992725
token:16794942 lambda:0.000219
token:16788223 lambda:0.000561
token:16781719 lambda:0.002226
token:50343140 lambda:0.183186
token:16800157 lambda:0.000282
token:50344087 lambda:0.000612
token:16812992 lambda:0.000324
token:16805776 lambda:0.000070
token:16814779 lambda:0.000323
token:16798720 lambda:0.004438
token:16805332 lambda:0.000041
token:16808419 lambda:0.999564
token:50359111 lambda:0.000079
token:50352823 lambda:0.001105
token:16803313 lambda:0.995826
token:16808622 lambda:0.400380
token:50348138 lambda:0.000654
token:16781457 lambda:0.079555
token:50344958 lambda:0.000771
token:16802266 lambda:0.000637
token:16811212 lambda:0.001109
token:16829421 lambda:0.000240
token:16827739 lambda:0.000263
token:16827932 lambda:0.001340
token:50336071 lambda:0.006111
token:50345134 lambda:0.000093
token:16778468 lambda:0.002339
token:16813386 lambda:0.000333
token:50348009 lambda:0.001058
token:16820176 lambda:0.001620
token:16811998 lambda:0.000016
token:16805641 lambda:0.000150
token:16828782 lambda:0.001362
token:16816187 lambda:0.000773
token:16777797 lambda:0.001570
token:50337713 lambda:0.000196
token:16788700 lambda:0.000450
token:16795561 lambda:0.249256
token:16802314 lambda:0.000184
token:16827559 lambda:0.000318
token:16798905 lambda:0.000182
token:16813491 lambda:0.964972
token:16824204 lambda:0.000590
token:16821499 lambda:0.000062
token:16802390 lambda:0.000340
token:16817177 lambda:0.000251
token:16811680 lambda:0.000051
token:16812502 lambda:0.001085
token:16805938 lambda:0.001658
token:16800768 lambda:0.206926
token:16787313 lambda:0.000404
token:50337632 lambda:0.000831
token:16807601 lambda:0.000012
token:16817182 lambda:0.000462
token:50346356 lambda:0.041168
token:16788913 lambda:0.000154
token:16792278 lambda:0.002900
token:50340958 lambda:0.000114
token:16792615 lambda:0.000179
token:50345530 lambda:0.996360
token:16802590 lambda:0.000320
token:50337144 lambda:0.001346
token:16864770 lambda:0.000245
token:16790446 lambda:0.999676
token:16806239 lambda:0.000582
token:16811875 lambda:0.000244
token:16815067 lambda:0.000234
token:16787240 lambda:0.000722
token:16791668 lambda:0.009539
token:16812493 lambda:0.000601
token:16811133 lambda:0.000049
token:50344013 lambda:0.000190
token:16819696 lambda:0.023362
token:50343464 lambda:0.000265
token:16822058 lambda:0.000217
token:16794672 lambda:0.000276
token:16797986 lambda:0.005016
token:16812892 lambda:0.003394
token:16826381 lambda:0.000236
token:50349338 lambda:0.000019
token:16791804 lambda:0.000650
token:16802118 lambda:0.629538
token:16777289 lambda:0.000483
token:16817815 lambda:0.000184
token:50345925 lambda:0.006079
token:16808543 lambda:0.000240
token:50339996 lambda:0.000330
token:16816248 lambda:0.000517
token:16816902 lambda:0.052558
token:16811432 lambda:0.000232
token:16777692 lambda:0.993133
token:16867618 lambda:0.000002
token:16790929 lambda:0.000572
token:50352246 lambda:0.136006
token:16836445 lambda:0.000240
token:50350924 lambda:0.000232
token:50345189 lambda:0.000084
token:16782360 lambda:0.004620
token:50349136 lambda:0.440042
token:16793019 lambda:0.000553
token:16797833 lambda:0.999595
token:16790916 lambda:0.000465
token:16783222 lambda:0.001298
token:16847405 lambda:0.223094
token:16784509 lambda:0.000314
token:16793757 lambda:0.999494
token:16806550 lambda:0.000240
token:16795008 lambda:0.021985
token:16783922 lambda:0.043529
token:16783160 lambda:0.315053
token:50341250 lambda:0.889058
token:16811135 lambda:0.003415
token:16806514 lambda:0.000263
token:16817390 lambda:0.000059
token:16796493 lambda:0.001223
token:16824192 lambda:0.000508
token:16866540 lambda:0.000240
token:16805069 lambda:0.000169
token:16795998 lambda:0.220419
token:16793755 lambda:0.000270
token:16853360 lambda:0.000237
token:50335590 lambda:0.000522
token:16800130 lambda:0.590599
token:50348148 lambda:0.000155
token:16861837 lambda:0.002604
token:16777469 lambda:0.002998
token:16816343 lambda:0.000285
token:16829212 lambda:0.000089
token:16823183 lambda:0.000146
token:50341929 lambda:0.000640
token:16790673 lambda:0.000128
token:16825813 lambda:0.000715
token:16791103 lambda:0.000183
token:16816880 lambda:0.000526
token:16812098 lambda:0.000396
token:16819133 lambda:0.001844
token:50349359 lambda:0.000796
token:16787846 lambda:0.001357
token:16822826 lambda:0.000076
token:50345695 lambda:0.002267
token:16791676 lambda:0.044193
token:16814952 lambda:0.000872
token:16794204 lambda:0.000103
token:16785194 lambda:0.292004
token:16825555 lambda:0.000336
token:16786782 lambda:0.002305
token:16819211 lambda:0.399459
token:16799084 lambda:0.000001
token:16868980 lambda:0.000240
token:16815341 lambda:0.001092
token:16819219 lambda:0.000424
token:16792514 lambda:0.014810
token:16834600 lambda:0.000021
token:50340356 lambda:0.000043
token:50352055 lambda:0.000042
token:16780158 lambda:0.996246
token:50345357 lambda:0.000843
token:16818884 lambda:0.004028
token:16836702 lambda:0.000240
token:50350127 lambda:0.000079
token:16804939 lambda:0.000207
token:50349365 lambda:0.000106
token:16806456 lambda:0.000780
token:16869654 lambda:0.000014
token:16860371 lambda:0.000066
token:16828727 lambda:0.529933
token:16810930 lambda:0.000027
token:16785240 lambda:0.274218
token:16817312 lambda:0.003103
token:16823859 lambda:0.000351
token:16811053 lambda:0.115970
token:16793098 lambda:0.000228
token:16793220 lambda:0.082301
token:16824988 lambda:0.000338
token:50352013 lambda:0.000016
token:16788015 lambda:0.003026
token:50344499 lambda:0.851166
token:16794909 lambda:0.000120
token:50337931 lambda:0.268902
token:50333244 lambda:0.000001
token:16807626 lambda:0.007909
token:16821613 lambda:0.000218
token:50340311 lambda:0.000222
token:50336588 lambda:0.018969
token:16801461 lambda:0.999770
token:16798446 lambda:0.082050
token:16781068 lambda:0.050811
token:16783015 lambda:0.000336
token:16829789 lambda:0.000043
token:50354712 lambda:0.963624
token:16804902 lambda:0.000582
token:16784701 lambda:0.480572
token:16802395 lambda:0.000018
token:16800868 lambda:0.000266
token:16778820 lambda:0.018043
token:16797769 lambda:0.000972
token:33559577 lambda:0.998859
token:16815829 lambda:0.998281
token:16806711 lambda:0.000387
token:50337015 lambda:0.000705
token:16853376 lambda:0.000001
token:16784688 lambda:0.040934
token:16790191 lambda:0.000055
token:16812942 lambda:0.004646
token:16781152 lambda:0.002184
token:50341166 lambda:0.000405
token:16807083 lambda:0.000860
token:50333155 lambda:0.003051
token:16791621 lambda:0.000019
token:16800954 lambda:0.000246
token:16781081 lambda:0.004645
token:16838070 lambda:0.001707
token:16813681 lambda:0.000350
token:16793453 lambda:0.035098
token:16809115 lambda:0.001293
token:16812968 lambda:0.024435
token:16783338 lambda:0.994114
token:16794567 lambda:0.179362
token:16784742 lambda:0.004710
token:16820574 lambda:0.003148
token:50349831 lambda:0.000147
token:16792182 lambda:0.000082
token:16779076 lambda:0.040322
token:50334672 lambda:0.582529
token:16804812 lambda:0.016115
token:16785677 lambda:0.010312
token:16788048 lambda:0.000258
token:16781558 lambda:0.000501
token:16816932 lambda:0.000263
token:50343708 lambda:0.706766
token:16809952 lambda:0.000700
token:50332843 lambda:0.000085
token:16810088 lambda:0.001025
token:16830738 lambda:0.000001
token:16817593 lambda:0.000061
token:16801497 lambda:0.002376
token:50356793 lambda:0.001509
token:50347203 lambda:0.223940
token:16802766 lambda:0.999860
token:16829958 lambda:0.000116
token:16824582 lambda:0.000240
token:50359062 lambda:0.000237
token:16803938 lambda:0.000180
